,id,datetime,origin_lat,origin_lng,origin_state,destination_lat,destination_lng,destination_state,datatype,distance,origin_admin1,destination_admin1,origin_admin2,destination_admin2
0,1585,2018-08-06 07:56:19.869040+00:00,14.4425987,79.986456,Andhra Pradesh,11.005323800000001,77.5609843,Tamil Nadu,new_ops,463.96946344730196,Andhra Pradesh,Tamil Nadu,Nellore,Tiruppur
1,378,2017-02-08 06:30:00+00:00,16.3066525,80.4365402,Andhra Pradesh,8.1832857,77.4118996,Tamil Nadu,old_ops,961.1076767019827,Andhra Pradesh,Tamil Nadu,Guntur,Kanniyakumari
2,48272,2017-11-17 09:08:09.651904+00:00,16.3066525,80.4365402,Andhra Pradesh,13.1410867,80.22304770000001,Tamil Nadu,orders,352.74263511083836,Andhra Pradesh,Tamil Nadu,Guntur,Thiruvallur
3,6294,2018-04-20 13:14:00.644244+00:00,16.5061743,80.6480153,Andhra Pradesh,10.786999400000001,79.1378274,Tamil Nadu,old_ops,656.5263909077414,Andhra Pradesh,Tamil Nadu,Krishna,Thanjavur
4,3331,2016-06-18 08:24:06.496554+00:00,16.2234756,80.5246434,Andhra Pradesh,9.5393534,77.9431671,Tamil Nadu,orders,794.105754004132,Andhra Pradesh,Tamil Nadu,Guntur,Virudhunagar
5,514,2017-03-02 06:30:00+00:00,17.0504374,82.1659243,Andhra Pradesh,10.0731315,78.78015440000001,Tamil Nadu,old_ops,857.715791034351,Andhra Pradesh,Tamil Nadu,East Godavari,Sivaganga
6,48535,2019-05-05 11:15:08.473724+00:00,16.237932999999998,80.6444099,Andhra Pradesh,9.905099,77.62139300000001,Tamil Nadu,new_ops,776.5005370355223,Andhra Pradesh,Tamil Nadu,Guntur,Madurai
7,17819,2019-01-19 06:37:58.696018+00:00,16.5762873,80.68539859999998,Andhra Pradesh,8.7233022,78.0272813,Tamil Nadu,new_ops,919.5217432599502,Andhra Pradesh,Tamil Nadu,Krishna,Thoothukkudi
8,53375,2018-05-26 06:55:00.876100+00:00,16.3066525,80.4365402,Andhra Pradesh,12.944736099999998,78.8709019,Tamil Nadu,orders,410.0156394955922,Andhra Pradesh,Tamil Nadu,Guntur,Vellore
9,519,2017-03-02 06:30:00+00:00,17.0504374,82.1659243,Andhra Pradesh,13.1758491,79.61090490000001,Tamil Nadu,old_ops,510.6970600801677,Andhra Pradesh,Tamil Nadu,East Godavari,Thiruvallur
10,25993,2017-04-25 07:27:33.283013+00:00,17.085986899999998,81.9507538,Andhra Pradesh,9.547956800000001,78.9146798,Tamil Nadu,orders,900.1692392691635,Andhra Pradesh,Tamil Nadu,East Godavari,Ramanathapuram
11,2280,2017-08-04 06:30:00+00:00,16.3066525,80.4365402,Andhra Pradesh,11.632829800000001,78.8778946,Tamil Nadu,old_ops,546.225218800875,Andhra Pradesh,Tamil Nadu,Guntur,Villupuram
12,4470,2018-02-15 12:32:19.831563+00:00,16.836152,81.398027,Andhra Pradesh,11.9368897,79.48726190000001,Tamil Nadu,old_ops,582.324815321414,Andhra Pradesh,Tamil Nadu,West Godavari,Villupuram
13,5749,2018-04-02 08:45:29.669953+00:00,18.605767800000002,84.2301531,Andhra Pradesh,12.740912699999999,77.8252923,Tamil Nadu,old_ops,946.0127129456814,Andhra Pradesh,Tamil Nadu,Srikakulam,Krishnagiri
14,2866,2016-06-07 05:41:56.595123+00:00,16.3171087,80.3191912,Andhra Pradesh,9.2877099,79.31414050000001,Tamil Nadu,orders,789.1830849980375,Andhra Pradesh,Tamil Nadu,Guntur,Virudhunagar
15,4434,2016-07-25 07:16:28.367328+00:00,16.1472957,80.2053647,Andhra Pradesh,8.9986484,77.3424926,Tamil Nadu,orders,853.373771166217,Andhra Pradesh,Tamil Nadu,Guntur,Tirunelveli Kattabo
16,7486,2016-10-08 04:20:08.962662+00:00,16.638505900000002,80.9705292,Andhra Pradesh,12.189943,79.92486690000001,Tamil Nadu,orders,507.30664205353787,Andhra Pradesh,Tamil Nadu,West Godavari,Villupuram
17,50057,2018-02-06 07:08:41.291229+00:00,16.8229562,81.4237776,Andhra Pradesh,10.607157899999999,78.4214444,Tamil Nadu,orders,763.3958780957732,Andhra Pradesh,Tamil Nadu,West Godavari,Tiruchchirappalli
18,50266,2018-02-09 14:40:35.532528+00:00,13.8185378,77.49887530000001,Andhra Pradesh,12.5106551,79.1268287,Tamil Nadu,orders,228.5099527185447,Andhra Pradesh,Tamil Nadu,Anantapur,Tiruvannamalai
